SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID
11,2014,418342067,1,102,12,2778,418342067_102
11,2014,418342067,1,103,12,2778,418342067_103
11,2014,418342067,1,104,12,2778,418342067_104
11,2014,418342737,1,101,12,18261,418342737_101
11,2014,418342737,1,102,12,18261,418342737_102
11,2014,418342737,1,103,12,18261,418342737_103
11,2014,418342770,1,101,12,6673,418342770_101
11,2014,418342770,1,102,12,6673,418342770_102
11,2014,418342770,1,103,12,6673,418342770_103
11,2014,418359060,1,101,12,7021,418359060_101
11,2014,418359060,1,102,12,7021,418359060_102
11,2014,418359149,1,101,12,26733,418359149_101
11,2014,418359149,1,102,12,26733,418359149_102
11,2014,418359259,1,101,12,35107,418359259_101
11,2014,418359259,1,102,12,35107,418359259_102
11,2014,418359294,1,101,12,17075,418359294_101
11,2014,418359294,1,102,12,17075,418359294_102
11,2014,418359660,1,101,12,3577,418359660_101
11,2014,418359660,1,102,12,3577,418359660_102
11,2014,418359660,1,103,12,3577,418359660_103
11,2014,418359831,1,101,12,10954,418359831_101
11,2014,418359831,1,102,12,10954,418359831_102
11,2014,418359831,1,103,12,1102,418359831_103
11,2014,418359831,1,104,12,10954,418359831_104
11,2014,418359831,1,105,12,10954,418359831_105
11,2014,418359831,1,106,12,1102,418359831_106
11,2014,418359944,1,101,12,65195,418359944_101
11,2014,418359944,1,102,12,65195,418359944_102
11,2014,418406060,1,101,12,3504,418406060_101
11,2014,418406060,1,102,12,3504,418406060_102
11,2014,418406116,1,101,12,768,418406116_101
11,2014,418406167,1,101,12,7691,418406167_101
11,2014,418406167,1,102,12,7691,418406167_102
11,2014,418406167,1,103,12,7691,418406167_103
11,2014,418406267,1,101,12,803,418406267_101
11,2014,418406297,1,101,12,7169,418406297_101
11,2014,418406297,1,102,12,7169,418406297_102
11,2014,418406502,1,101,12,6735,418406502_101
11,2014,418406502,1,102,12,6735,418406502_102
11,2014,418406566,1,101,12,2901,418406566_101
11,2014,418406566,1,102,12,2901,418406566_102
11,2014,418406566,1,103,12,2901,418406566_103
