SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID_2
11,2014,418359149,3,102,12,23544,418359149_102
11,2014,418359259,3,101,12,41036,418359259_101
11,2014,418359259,3,102,12,41036,418359259_102
11,2014,418359294,3,101,12,19939,418359294_101
11,2014,418359294,3,102,12,19939,418359294_102
11,2014,418359944,3,101,12,3891,418359944_101
11,2014,418359944,3,102,12,3891,418359944_102
11,2014,418406060,3,101,12,5806,418406060_101
11,2014,418406060,3,102,12,5806,418406060_102
11,2014,418406060,3,301,12,5806,418406060_301
11,2014,418406116,3,101,12,2017,418406116_101
21,2014,418406267,3,101,12,1198,418406267_101
11,2014,418406297,3,101,12,6624,418406297_101
11,2014,418406297,3,102,12,6624,418406297_102
11,2014,418406502,3,101,12,6750,418406502_101
11,2014,418406502,3,102,12,6750,418406502_102
11,2014,418406582,3,101,12,1100,418406582_101
11,2014,418406596,3,101,12,2718,418406596_101
11,2014,418406596,3,102,12,2718,418406596_102
11,2014,418406660,3,101,12,3322,418406660_101
11,2014,418406660,3,102,12,3322,418406660_102
11,2014,418406660,3,103,12,3322,418406660_103
11,2014,418406788,3,101,12,3416,418406788_101
11,2014,418406788,3,102,12,3416,418406788_102
11,2014,418406801,3,101,12,1220,418406801_101
11,2014,418406883,3,101,12,3284,418406883_101
11,2014,418408149,3,101,12,17,418408149_101
11,2014,418408197,3,101,12,6387,418408197_101
11,2014,418408197,3,102,12,6387,418408197_102
11,2014,418408197,3,103,12,6387,418408197_103
11,2014,418408197,3,201,12,6387,418408197_201
11,2014,418408660,3,101,12,1979,418408660_101
11,2014,418408660,3,201,12,1979,418408660_201
11,2014,418408660,3,202,12,1979,418408660_202
11,2014,418408660,3,203,12,1979,418408660_203
11,2014,418408660,3,204,12,1979,418408660_204
11,2014,418408944,3,101,12,4673,418408944_101
11,2014,418408944,3,102,12,4673,418408944_102
11,2014,418418174,3,101,12,9005,418418174_101
11,2014,418418174,3,102,12,9005,418418174_102
11,2014,418418174,3,301,12,9005,418418174_301
11,2014,418418174,3,302,12,9005,418418174_302
11,2014,418418903,3,101,12,3133,418418903_101
31,2014,418438070,3,101,12,11441,418438070_101
31,2014,418438070,3,102,12,11441,418438070_102
31,2014,418438070,3,201,12,11441,418438070_201
11,2014,418438369,3,101,12,2876,418438369_101
11,2014,418438765,3,101,12,2074,418438765_101
11,2014,418472746,3,101,12,6359,418472746_101
11,2014,418472746,3,102,12,6359,418472746_102
11,2014,418494086,3,101,12,374,418494086_101
11,2014,418494086,3,102,12,374,418494086_102
11,2014,418494086,3,103,12,374,418494086_103
11,2014,418494086,3,104,12,374,418494086_104
11,2014,418494946,3,101,12,44464,418494946_101
11,2014,418494946,3,102,12,44464,418494946_102
11,2014,418494946,3,103,12,44464,418494946_103
11,2014,418494946,3,104,12,44464,418494946_104
11,2014,418500162,3,101,12,3600,418500162_101
11,2014,418500162,3,102,12,3600,418500162_102
11,2014,418500162,3,103,12,3600,418500162_103
11,2014,418500458,3,101,12,3832,418500458_101
11,2014,418500458,3,102,12,3832,418500458_102
11,2014,418500458,3,103,12,3832,418500458_103
11,2014,418500458,3,104,12,3832,418500458_104
11,2014,418500692,3,101,12,4872,418500692_101
11,2014,418500692,3,102,12,4872,418500692_102
11,2014,418500692,3,103,12,4872,418500692_103
11,2014,418500692,3,104,12,4872,418500692_104
11,2014,418500692,3,105,12,4872,418500692_105
11,2014,418500692,3,106,12,4872,418500692_106
11,2014,418500692,3,201,12,4872,418500692_201
11,2014,418500705,3,101,12,0,418500705_101
11,2014,418500773,3,101,12,2225,418500773_101
11,2014,418500994,3,101,12,3640,418500994_101
11,2014,418501494,3,101,12,1510,418501494_101
22,2014,418533619,3,102,12,5195,418533619_102
11,2014,418533950,3,101,12,1833,418533950_101
11,2014,418533950,3,102,12,1833,418533950_102
11,2014,418533950,3,103,12,1833,418533950_103
11,2014,418552692,3,101,12,5130,418552692_101
11,2014,418552692,3,102,12,5130,418552692_102
11,2014,418552705,3,101,12,6067,418552705_101
11,2014,418552705,3,102,12,6067,418552705_102
11,2014,418552705,3,103,12,6067,418552705_103
11,2014,418552773,3,101,12,4504,418552773_101
11,2014,418552773,3,102,12,4504,418552773_102
11,2014,418555070,3,101,12,2604,418555070_101
11,2014,418606494,3,102,12,1382,418606494_102
11,2014,418609029,3,101,12,9678,418609029_101
11,2014,418609029,3,102,12,9678,418609029_102
11,2014,418609029,3,103,12,9678,418609029_103
11,2014,418609142,3,101,12,730,418609142_101
11,2014,418609319,3,101,12,3183,418609319_101
11,2014,418609553,3,101,12,21490,418609553_101
11,2014,418609553,3,102,12,21490,418609553_102
21,2014,418610770,3,101,12,755,418610770_101
22,2014,418635994,3,102,12,1603,418635994_102
22,2014,418635994,3,201,12,1603,418635994_201
11,2014,418662549,3,101,12,3567,418662549_101
11,2014,418662994,3,101,12,2057,418662994_101
11,2014,418662994,3,102,12,2057,418662994_102
11,2014,418662994,3,103,12,2057,418662994_103
11,2014,418662994,3,104,12,2057,418662994_104
11,2014,418662994,3,105,12,2057,418662994_105
11,2014,418662994,3,201,12,2057,418662994_201
11,2014,418688149,3,101,12,2984,418688149_101
11,2014,418688207,3,101,12,7240,418688207_101
11,2014,418688207,3,102,12,7240,418688207_102
11,2014,418688207,3,103,12,7240,418688207_103
11,2014,418688207,3,301,12,7240,418688207_301
11,2014,418688660,3,101,12,9136,418688660_101
11,2014,418688660,3,102,12,9136,418688660_102
11,2014,418688831,3,101,12,14013,418688831_101
11,2014,418688831,3,102,12,14013,418688831_102
11,2014,418688831,3,103,12,14013,418688831_103
11,2014,418689173,3,101,12,11497,418689173_101
11,2014,418689243,3,101,12,1458,418689243_101
11,2014,418689494,3,101,12,30177,418689494_101
11,2014,418689494,3,102,12,30177,418689494_102
11,2014,418689494,3,103,12,30177,418689494_103
11,2014,418689655,3,101,12,3486,418689655_101
11,2014,418689655,3,102,12,3486,418689655_102
11,2014,418755283,3,101,12,3781,418755283_101
11,2014,418755283,3,102,12,3781,418755283_102
31,2014,418755291,3,101,12,1320,418755291_101
11,2014,418755946,3,101,12,2969,418755946_101
11,2014,418755946,3,102,12,2969,418755946_102
11,2014,418755946,3,103,12,2969,418755946_103
11,2014,418755946,3,104,12,2969,418755946_104
11,2014,418756458,3,101,12,565,418756458_101
11,2014,418783458,3,101,12,6739,418783458_101
11,2014,418783458,3,102,12,6739,418783458_102
11,2014,418783549,3,101,12,6430,418783549_101
11,2014,418809086,3,101,12,9734,418809086_101
11,2014,418809086,3,102,12,9734,418809086_102
21,2014,418809291,3,101,12,6191,418809291_101
21,2014,418809291,3,102,12,6191,418809291_102
21,2014,418809291,3,103,12,6191,418809291_103
21,2014,418809291,3,104,12,6191,418809291_104
31,2014,418809449,3,101,12,4120,418809449_101
31,2014,418809449,3,102,12,4120,418809449_102
11,2014,418809852,3,101,12,28596,418809852_101
11,2014,418809852,3,102,12,28596,418809852_102
11,2014,418809946,3,101,12,12500,418809946_101
11,2014,418809946,3,301,12,12500,418809946_301
11,2014,418816458,3,101,12,12305,418816458_101
11,2014,418816458,3,102,12,12305,418816458_102
11,2014,418816458,3,103,12,12305,418816458_103
11,2014,418816458,3,104,12,12305,418816458_104
11,2014,418816458,3,301,12,12305,418816458_301
11,2014,418816994,3,101,12,5420,418816994_101
11,2014,418816994,3,102,12,5420,418816994_102
11,2014,418816994,3,301,12,5420,418816994_301
11,2014,418816994,3,302,12,5420,418816994_302
11,2014,418847509,3,101,12,3774,418847509_101
11,2014,418847509,3,102,12,3774,418847509_102
11,2014,418847509,3,103,12,3774,418847509_103
11,2014,418847509,3,104,12,3774,418847509_104
11,2014,418847549,3,101,12,11761,418847549_101
11,2014,418847584,3,101,12,-114,418847584_101
11,2014,418847584,3,102,12,-114,418847584_102
11,2014,418847773,3,101,12,23847,418847773_101
11,2014,418847804,3,101,12,3953,418847804_101
11,2014,418847804,3,102,12,3953,418847804_102
11,2014,418847804,3,103,12,3953,418847804_103
11,2014,418847844,3,102,12,-692,418847844_102
11,2014,418925197,3,101,12,5137,418925197_101
21,2014,418925197,3,102,12,4603,418925197_102
11,2014,418925294,3,101,12,2150,418925294_101
11,2014,418925294,3,102,12,2150,418925294_102
11,2014,418925660,3,101,12,10307,418925660_101
11,2014,418925660,3,102,12,10307,418925660_102
11,2014,418925660,3,103,12,10307,418925660_103
11,2014,418925831,3,101,12,2303,418925831_101
11,2014,418932035,3,101,12,1765,418932035_101
11,2014,418932086,3,101,12,0,418932086_101
11,2014,418932086,3,102,12,0,418932086_102
